"year","Alts","fall","winter","FlowCFS","FlowTAF"
2003,"Alt1",0.3,0.13,2606600.6,5161.069188
2003,"Alt2",0,0.29,2227533.5511,4410.516431178
2003,"Alt3",0.05,0.16,2419415.6,4790.442888
2003,"Alt4",0.06,0.13,2450575.6,4852.139688
2004,"Alt1",0.28,0.14,2606600.6,5161.069188
2004,"Alt2",0,0.31,2227533.5511,4410.516431178
2004,"Alt3",0.03,0.16,2419415.6,4790.442888
2004,"Alt4",0.05,0.14,2450575.6,4852.139688
2005,"Alt1",0.23,0.14,2606600.6,5161.069188
2005,"Alt2",0,0.3,2227533.5511,4410.516431178
2005,"Alt3",0.02,0.16,2419415.6,4790.442888
2005,"Alt4",0.04,0.14,2450575.6,4852.139688
2006,"Alt1",0.21,0.13,2606600.6,5161.069188
2006,"Alt2",0,0.29,2227533.5511,4410.516431178
2006,"Alt3",0.04,0.15,2419415.6,4790.442888
2006,"Alt4",0.05,0.13,2450575.6,4852.139688
2007,"Alt1",0.29,0.13,2606600.6,5161.069188
2007,"Alt2",0,0.29,2227533.5511,4410.516431178
2007,"Alt3",0.07,0.14,2419415.6,4790.442888
2007,"Alt4",0.08,0.13,2450575.6,4852.139688
2008,"Alt1",0.32,0.13,2606600.6,5161.069188
2008,"Alt2",0,0.23,2227533.5511,4410.516431178
2008,"Alt3",0.07,0.13,2419415.6,4790.442888
2008,"Alt4",0.08,0.13,2450575.6,4852.139688
2009,"Alt1",0.28,0.13,2606600.6,5161.069188
2009,"Alt2",0,0.27,2227533.5511,4410.516431178
2009,"Alt3",0.06,0.13,2419415.6,4790.442888
2009,"Alt4",0.07,0.13,2450575.6,4852.139688
2010,"Alt1",0.3,0.12,2606600.6,5161.069188
2010,"Alt2",0,0.27,2227533.5511,4410.516431178
2010,"Alt3",0.04,0.14,2419415.6,4790.442888
2010,"Alt4",0.06,0.12,2450575.6,4852.139688
2011,"Alt1",0.27,0.14,2606600.6,5161.069188
2011,"Alt2",0,0.31,2227533.5511,4410.516431178
2011,"Alt3",0.02,0.22,2419415.6,4790.442888
2011,"Alt4",0.05,0.14,2450575.6,4852.139688
2012,"Alt1",0.36,0.15,2606600.6,5161.069188
2012,"Alt2",0,0.32,2227533.5511,4410.516431178
2012,"Alt3",0.03,0.17,2419415.6,4790.442888
2012,"Alt4",0.07,0.15,2450575.6,4852.139688
2013,"Alt1",0.32,0.14,2606600.6,5161.069188
2013,"Alt2",0,0.31,2227533.5511,4410.516431178
2013,"Alt3",0.09,0.16,2419415.6,4790.442888
2013,"Alt4",0.08,0.14,2450575.6,4852.139688
2014,"Alt1",0.33,0.14,2606600.6,5161.069188
2014,"Alt2",0,0.25,2227533.5511,4410.516431178
2014,"Alt3",0.06,0.14,2419415.6,4790.442888
2014,"Alt4",0.08,0.14,2450575.6,4852.139688
2015,"Alt1",0.35,0.13,2606600.6,5161.069188
2015,"Alt2",0,0.24,2227533.5511,4410.516431178
2015,"Alt3",0.02,0.14,2419415.6,4790.442888
2015,"Alt4",0.07,0.13,2450575.6,4852.139688
2016,"Alt1",0.25,0.13,2606600.6,5161.069188
2016,"Alt2",0,0.27,2227533.5511,4410.516431178
2016,"Alt3",0.02,0.15,2419415.6,4790.442888
2016,"Alt4",0.05,0.13,2450575.6,4852.139688
2017,"Alt1",0.29,0.13,2606600.6,5161.069188
2017,"Alt2",0,0.28,2227533.5511,4410.516431178
2017,"Alt3",0.02,0.19,2419415.6,4790.442888
2017,"Alt4",0.05,0.13,2450575.6,4852.139688
2018,"Alt1",0.35,0.14,2606600.6,5161.069188
2018,"Alt2",0,0.31,2227533.5511,4410.516431178
2018,"Alt3",0.03,0.21,2419415.6,4790.442888
2018,"Alt4",0.07,0.14,2450575.6,4852.139688
2019,"Alt1",0.31,0.14,2606600.6,5161.069188
2019,"Alt2",0,0.29,2227533.5511,4410.516431178
2019,"Alt3",0.03,0.16,2419415.6,4790.442888
2019,"Alt4",0.06,0.14,2450575.6,4852.139688
2020,"Alt1",0.32,0.14,2606600.6,5161.069188
2020,"Alt2",0,0.31,2227533.5511,4410.516431178
2020,"Alt3",0.03,0.16,2419415.6,4790.442888
2020,"Alt4",0.06,0.14,2450575.6,4852.139688
2021,"Alt1",0.32,0.14,2606600.6,5161.069188
2021,"Alt2",0,0.28,2227533.5511,4410.516431178
2021,"Alt3",0.11,0.14,2419415.6,4790.442888
2021,"Alt4",0.09,0.14,2450575.6,4852.139688
2022,"Alt1",0.34,0.14,2606600.6,5161.069188
2022,"Alt2",0,0.28,2227533.5511,4410.516431178
2022,"Alt3",0.08,0.15,2419415.6,4790.442888
2022,"Alt4",0.08,0.14,2450575.6,4852.139688
2023,"Alt1",0.28,0.13,2606600.6,5161.069188
2023,"Alt2",0,0.3,2227533.5511,4410.516431178
2023,"Alt3",0.01,0.15,2419415.6,4790.442888
2023,"Alt4",0.05,0.14,2450575.6,4852.139688
